TYPE	ACCESSION	ALIAS
SAMPLE	ERS20928936	pool_t0_r1
SAMPLE	ERS20928937	pool_t0_r2
SAMPLE	ERS20928938	pool_t0_r3
SAMPLE	ERS20928939	pool_t1_r1
SAMPLE	ERS20928940	pool_t1_r2
SAMPLE	ERS20928941	pool_t1_r3
SAMPLE	ERS20928942	LD_N2_t0_R1
SAMPLE	ERS20928943	LD_N2_t0_R2
SAMPLE	ERS20928944	LD_N2_t0_R3
SAMPLE	ERS20928945	LD_N2_t1_R1
SAMPLE	ERS20928946	LD_N2_t1_R2
SAMPLE	ERS20928947	LD_N2_t1_R3
SAMPLE	ERS20928948	LD_N2_t2_R1
SAMPLE	ERS20928949	LD_N2_t2_R2
SAMPLE	ERS20928950	LD_N2_t2_R3
SAMPLE	ERS20928951	LD_N2_t3_R1
SAMPLE	ERS20928952	LD_N2_t3_R2
SAMPLE	ERS20928953	LD_N2_t3_R3
SAMPLE	ERS20928954	LD_N2_t4_R1
SAMPLE	ERS20928955	LD_N2_t4_R2
SAMPLE	ERS20928956	LD_N2_t4_R3
SAMPLE	ERS20928957	LD_N2_t5_R1
SAMPLE	ERS20928958	LD_N2_t5_R2
SAMPLE	ERS20928959	LD_N2_t5_R3
SAMPLE	ERS20928960	HL_HC_ambO2_t0_R1
SAMPLE	ERS20928961	HL_HC_ambO2_t0_R2
SAMPLE	ERS20928962	HL_HC_ambO2_t0_R3
SAMPLE	ERS20928963	HL_HC_ambO2_t0_R4
SAMPLE	ERS20928964	HL_HC_ambO2_t1_R1
SAMPLE	ERS20928965	HL_HC_ambO2_t1_R2
SAMPLE	ERS20928966	HL_HC_ambO2_t1_R3
SAMPLE	ERS20928967	HL_HC_ambO2_t1_R4
SAMPLE	ERS20928968	HL_HC_ambO2_t2_R1
SAMPLE	ERS20928969	HL_HC_ambO2_t2_R2
SAMPLE	ERS20928970	HL_HC_ambO2_t2_R3
SAMPLE	ERS20928971	HL_HC_ambO2_t2_R4
SAMPLE	ERS20928972	HL_HC_ambO2_t3_R1
SAMPLE	ERS20928973	HL_HC_ambO2_t3_R2
SAMPLE	ERS20928974	HL_HC_ambO2_t3_R3
SAMPLE	ERS20928975	HL_HC_ambO2_t3_R4
SAMPLE	ERS20928976	HL_HC_ambO2_t4_R1
SAMPLE	ERS20928977	HL_HC_ambO2_t4_R2
SAMPLE	ERS20928978	HL_HC_ambO2_t4_R3
SAMPLE	ERS20928979	HL_HC_ambO2_t4_R4
SAMPLE	ERS20928980	HL_HC_ambO2_t5_R1
SAMPLE	ERS20928981	HL_HC_ambO2_t5_R2
SAMPLE	ERS20928982	HL_HC_ambO2_t5_R3
SAMPLE	ERS20928983	HL_HC_ambO2_t5_R4
SAMPLE	ERS20928984	HL_HC_ambO2_t6_R1
SAMPLE	ERS20928985	HL_HC_ambO2_t6_R2
SAMPLE	ERS20928986	HL_HC_ambO2_t6_R3
SAMPLE	ERS20928987	HL_HC_ambO2_t6_R4
SAMPLE	ERS20928988	HL_HC_ambO2_t7_R1
SAMPLE	ERS20928989	HL_HC_ambO2_t7_R2
SAMPLE	ERS20928990	HL_HC_ambO2_t7_R3
SAMPLE	ERS20928991	HL_HC_ambO2_t7_R4
SAMPLE	ERS20928992	HL_HC_N2_t0_R1
SAMPLE	ERS20928993	HL_HC_N2_t0_R2
SAMPLE	ERS20928994	HL_HC_N2_t0_R3
SAMPLE	ERS20928995	HL_HC_N2_t0_R4
SAMPLE	ERS20928996	HL_HC_N2_t1_R1
SAMPLE	ERS20928997	HL_HC_N2_t1_R2
SAMPLE	ERS20928998	HL_HC_N2_t1_R3
SAMPLE	ERS20928999	HL_HC_N2_t1_R4
SAMPLE	ERS20929000	HL_HC_N2_t2_R1
SAMPLE	ERS20929001	HL_HC_N2_t2_R2
SAMPLE	ERS20929002	HL_HC_N2_t2_R3
SAMPLE	ERS20929003	HL_HC_N2_t2_R4
SAMPLE	ERS20929004	HL_HC_N2_t3_R1
SAMPLE	ERS20929005	HL_HC_N2_t3_R2
SAMPLE	ERS20929006	HL_HC_N2_t3_R3
SAMPLE	ERS20929007	HL_HC_N2_t3_R4
SAMPLE	ERS20929008	HL_HC_N2_t4_R1
SAMPLE	ERS20929009	HL_HC_N2_t4_R2
SAMPLE	ERS20929010	HL_HC_N2_t4_R3
SAMPLE	ERS20929011	HL_HC_N2_t4_R4
SAMPLE	ERS20929012	HL_HC_N2_t5_R1
SAMPLE	ERS20929013	HL_HC_N2_t5_R2
SAMPLE	ERS20929014	HL_HC_N2_t5_R3
SAMPLE	ERS20929015	HL_HC_N2_t5_R4
SAMPLE	ERS20929016	HL_HC_N2_t6_R1
SAMPLE	ERS20929017	HL_HC_N2_t6_R2
SAMPLE	ERS20929018	HL_HC_N2_t6_R3
SAMPLE	ERS20929019	HL_HC_N2_t6_R4
SAMPLE	ERS20929020	HL_HC_N2_t7_R1
SAMPLE	ERS20929021	HL_HC_N2_t7_R2
SAMPLE	ERS20929022	HL_HC_N2_t7_R3
SAMPLE	ERS20929023	HL_HC_N2_t7_R4
SUBMISSION	ERA30766978	ena-SUBMISSION-TAB-02-09-2024-14:35:36:267-97168
