id,alias,instrumentModel,firstCreated,firstPublic,releaseStatus,submissionAccountId,studyId,experimentId,sampleId
ERR13618518,"ena-RUN-TAB-02-09-2024-15:32:20:346-97341","NextSeq 2000",2024-09-02T16:32:26,,PRIVATE,Webin-50538,ERP163731,ERX12989444,ERS20929014
ERR13618528,"ena-RUN-TAB-02-09-2024-15:32:20:354-97361","NextSeq 2000",2024-09-02T16:32:26,,PRIVATE,Webin-50538,ERP163731,ERX12989454,ERS20929023
ERR13618527,"ena-RUN-TAB-02-09-2024-15:32:20:353-97359","NextSeq 2000",2024-09-02T16:32:26,,PRIVATE,Webin-50538,ERP163731,ERX12989453,ERS20929019
ERR13618526,"ena-RUN-TAB-02-09-2024-15:32:20:352-97357","NextSeq 2000",2024-09-02T16:32:26,,PRIVATE,Webin-50538,ERP163731,ERX12989452,ERS20929015
ERR13618525,"ena-RUN-TAB-02-09-2024-15:32:20:352-97355","NextSeq 2000",2024-09-02T16:32:26,,PRIVATE,Webin-50538,ERP163731,ERX12989451,ERS20929011
ERR13618524,"ena-RUN-TAB-02-09-2024-15:32:20:351-97353","NextSeq 2000",2024-09-02T16:32:26,,PRIVATE,Webin-50538,ERP163731,ERX12989450,ERS20929007
ERR13618523,"ena-RUN-TAB-02-09-2024-15:32:20:350-97351","NextSeq 2000",2024-09-02T16:32:26,,PRIVATE,Webin-50538,ERP163731,ERX12989449,ERS20929003
ERR13618522,"ena-RUN-TAB-02-09-2024-15:32:20:350-97349","NextSeq 2000",2024-09-02T16:32:26,,PRIVATE,Webin-50538,ERP163731,ERX12989448,ERS20928999
ERR13618521,"ena-RUN-TAB-02-09-2024-15:32:20:349-97347","NextSeq 2000",2024-09-02T16:32:26,,PRIVATE,Webin-50538,ERP163731,ERX12989447,ERS20928995
ERR13618520,"ena-RUN-TAB-02-09-2024-15:32:20:348-97345","NextSeq 2000",2024-09-02T16:32:26,,PRIVATE,Webin-50538,ERP163731,ERX12989446,ERS20929022
ERR13618519,"ena-RUN-TAB-02-09-2024-15:32:20:347-97343","NextSeq 2000",2024-09-02T16:32:26,,PRIVATE,Webin-50538,ERP163731,ERX12989445,ERS20929018
ERR13618455,"ena-RUN-TAB-02-09-2024-15:32:20:301-97215","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989381,ERS20928949
ERR13618517,"ena-RUN-TAB-02-09-2024-15:32:20:346-97339","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989443,ERS20929010
ERR13618516,"ena-RUN-TAB-02-09-2024-15:32:20:345-97337","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989442,ERS20929006
ERR13618515,"ena-RUN-TAB-02-09-2024-15:32:20:344-97335","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989441,ERS20929002
ERR13618514,"ena-RUN-TAB-02-09-2024-15:32:20:344-97333","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989440,ERS20928998
ERR13618513,"ena-RUN-TAB-02-09-2024-15:32:20:343-97331","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989439,ERS20928994
ERR13618512,"ena-RUN-TAB-02-09-2024-15:32:20:342-97329","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989438,ERS20929021
ERR13618511,"ena-RUN-TAB-02-09-2024-15:32:20:342-97327","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989437,ERS20929017
ERR13618510,"ena-RUN-TAB-02-09-2024-15:32:20:341-97325","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989436,ERS20929013
ERR13618509,"ena-RUN-TAB-02-09-2024-15:32:20:340-97323","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989435,ERS20929009
ERR13618508,"ena-RUN-TAB-02-09-2024-15:32:20:340-97321","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989434,ERS20929005
ERR13618507,"ena-RUN-TAB-02-09-2024-15:32:20:339-97319","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989433,ERS20929001
ERR13618506,"ena-RUN-TAB-02-09-2024-15:32:20:338-97317","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989432,ERS20928997
ERR13618505,"ena-RUN-TAB-02-09-2024-15:32:20:338-97315","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989431,ERS20928993
ERR13618504,"ena-RUN-TAB-02-09-2024-15:32:20:337-97313","NextSeq 2000",2024-09-02T16:32:25,,PRIVATE,Webin-50538,ERP163731,ERX12989430,ERS20929020
