"","HL_5N2_t0_R1","HL_5N2_t0_R2","HL_5N2_t0_R3","HL_5N2_t0_R4","HL_5N2_t1_R1","HL_5N2_t1_R2","HL_5N2_t1_R3","HL_5N2_t1_R4","HL_5N2_t2_R1","HL_5N2_t2_R2","HL_5N2_t2_R3","HL_5N2_t2_R4","HL_5N2_t3_R1","HL_5N2_t3_R2","HL_5N2_t3_R3","HL_5N2_t3_R4","HL_5N2_t4_R1","HL_5N2_t4_R2","HL_5N2_t4_R3","HL_5N2_t4_R4","HL_5N2_t5_R1","HL_5N2_t5_R2","HL_5N2_t5_R3","HL_5N2_t5_R4","HL_5N2_t6_R1","HL_5N2_t6_R2","HL_5N2_t6_R3","HL_5N2_t6_R4","HL_5N2_t7_R1","HL_5N2_t7_R2","HL_5N2_t7_R3","HL_5N2_t7_R4","LD_N2_t0_R1","LD_N2_t0_R2","LD_N2_t0_R3","LD_N2_t1_R1","LD_N2_t1_R2","LD_N2_t1_R3","LD_N2_t2_R1","LD_N2_t2_R2","LD_N2_t2_R3","LD_N2_t3_R1","LD_N2_t3_R2","LD_N2_t3_R3","LD_N2_t4_R1","LD_N2_t4_R2","LD_N2_t4_R3","LD_N2_t5_R1","LD_N2_t5_R2","LD_N2_t5_R3"
"HL_5N2_t0_R1",1,0.943447116551594,0.951284725642829,0.976823478750748,0.917200261398622,0.947940260576603,0.865223167451514,0.949899276386246,0.0805880576807538,-0.0048343232381318,-0.110061202234802,0.0537673750384311,-0.190032925275504,-0.0984402993752707,-0.368499633287971,-0.222964227909048,-0.382032904797368,-0.0802582379191125,-0.57070645890027,-0.499696818713691,-0.260903306621144,-0.0631736114613011,-0.586584215115841,-0.414591349943247,-0.189328627185136,-0.0348499310985374,-0.530014162983658,-0.284280112242969,-0.129200300463291,-0.0259163978094973,-0.380613667710157,-0.192655726635069,0.924866139139439,0.915826753311869,0.958651574878746,0.78708010216978,0.793582192039165,0.113734244189569,-0.469764735379198,-0.313047396226594,-0.503340248509537,-0.645380401335442,-0.497490555700739,-0.349517562503018,-0.666163781109712,-0.632099062528228,-0.245291136429242,-0.668976728144512,-0.631960033539115,-0.189782398755015
"HL_5N2_t0_R2",0.943447116551594,1,0.957372396807758,0.95289762526429,0.936293726120974,0.958169108788067,0.898023411479745,0.958783992199087,-0.0772369957706296,-0.173275970186632,-0.291218824561054,-0.11827084584346,-0.353207656480805,-0.252312215367313,-0.484264476651034,-0.359638051623119,-0.478858817573955,-0.235873814301287,-0.656997704130454,-0.599114534693918,-0.387876545155857,-0.214613530182081,-0.663779777830583,-0.520867016412867,-0.318418707977608,-0.191472296124583,-0.632023806426771,-0.407224063190738,-0.264261100233796,-0.182875048071963,-0.493600407503285,-0.322639943191005,0.973460852666766,0.98355976085653,0.930103142304703,0.723312025832438,0.847731702371701,-0.0872230145923483,-0.4580004861263,-0.235353952656244,-0.582871772908798,-0.598913794489321,-0.386577732669692,-0.478325387323965,-0.594268900131286,-0.549796689774115,-0.384427421383885,-0.576554570975363,-0.561300078886538,-0.320871108273767
"HL_5N2_t0_R3",0.951284725642829,0.957372396807758,1,0.984132083759158,0.905755161074265,0.930481202115557,0.891958393063723,0.922747130644663,-0.116338088854951,-0.196291502529775,-0.302515169051812,-0.141249867294091,-0.378474754400001,-0.289203209135331,-0.519389345402788,-0.394360657211498,-0.489877428998217,-0.262195485046228,-0.681134118800476,-0.618328017924697,-0.416881561944149,-0.245307104285225,-0.68400414064729,-0.549588165172894,-0.343574785929115,-0.221191436006678,-0.655374727491203,-0.43377086233886,-0.290862477214117,-0.213279588258128,-0.525548335386729,-0.350044939800894,0.933679923348798,0.935206105771241,0.956723781938985,0.793581244718929,0.855322793064484,-0.0564379271225415,-0.454224647334407,-0.184618441520167,-0.607137739504338,-0.567836073490982,-0.387962915618101,-0.499446725380523,-0.566677193193199,-0.528588740369785,-0.404695979761117,-0.560910248058012,-0.533413882157172,-0.343915527114737
"HL_5N2_t0_R4",0.976823478750748,0.95289762526429,0.984132083759158,1,0.90408966583639,0.942450243893871,0.876597457724898,0.945443561435556,-0.0342792152529587,-0.118219838889264,-0.218445428314808,-0.0603128654627635,-0.298124694971861,-0.208880926813712,-0.459214168864626,-0.323218740139218,-0.431952749289902,-0.180483527815441,-0.647126065656549,-0.572111211363595,-0.345576580853879,-0.167455474463931,-0.642794082882931,-0.493173137084772,-0.275061975516203,-0.142438262059831,-0.602033136390059,-0.369223033039512,-0.222196474381787,-0.135643675305893,-0.462789442068428,-0.278849748154136,0.918175635025771,0.924482332272337,0.971940479570259,0.798048415752531,0.831328291728651,0.0244705737580966,-0.46576940021757,-0.245161610932331,-0.571226966138984,-0.606938986929863,-0.44664133738587,-0.437556250020083,-0.618285153146415,-0.579338580847097,-0.337717688493472,-0.616110593462739,-0.585155103110937,-0.278062701721579
"HL_5N2_t1_R1",0.917200261398622,0.936293726120974,0.905755161074265,0.90408966583639,1,0.932350098423778,0.916778551775402,0.894214804482323,0.0717338764412548,-0.0297829532404779,-0.131459512199435,0.0636263571564679,-0.192600317569158,-0.120198591776661,-0.322236029416995,-0.207236038689339,-0.334753053367594,-0.109534786419033,-0.508952402547046,-0.449613601458758,-0.251156804683143,-0.0906316056601552,-0.521304483319759,-0.376906447806741,-0.191692990348269,-0.0713102578302035,-0.487760929173543,-0.269694683712133,-0.140336784114457,-0.0632217253704682,-0.359222081205745,-0.19420942433065,0.960762887639412,0.923563774239245,0.904891913197401,0.769212234824042,0.846080142322748,0.0971808230762008,-0.368044571342433,-0.235959631490982,-0.420988417612957,-0.527389538605103,-0.378416815185331,-0.322210427760735,-0.55263032734043,-0.512329574877351,-0.242280034080672,-0.546203671062286,-0.527905244830232,-0.186851746056065
"HL_5N2_t1_R2",0.947940260576603,0.958169108788067,0.930481202115557,0.942450243893871,0.932350098423778,1,0.921683824730602,0.949645335615907,0.164986341295406,0.0521938869228374,-0.0471730130484809,0.131276162139129,-0.116529431429478,-0.0274468372384708,-0.26016569963791,-0.117245592098689,-0.280709365693489,-0.0208887537389521,-0.476282805572706,-0.403416952898342,-0.174061022809612,-0.0081229946006208,-0.487851757127247,-0.317250338455535,-0.109577260791271,0.0143711730863027,-0.441227993812993,-0.205309032526601,-0.0648173387628841,0.0216787653438522,-0.28885408310681,-0.118467410467647,0.947780208898757,0.943946499142886,0.924822453256623,0.779451405020128,0.780395483554714,0.12846679487145,-0.35582814079493,-0.312152830771453,-0.383407991009297,-0.570976009716303,-0.441728107167105,-0.258450754141142,-0.605519763033397,-0.59122487370729,-0.171278943411792,-0.593847358903597,-0.596888775191928,-0.109746046652995
"HL_5N2_t1_R3",0.865223167451514,0.898023411479745,0.891958393063723,0.876597457724898,0.916778551775402,0.921683824730602,1,0.848928660197374,0.00472013663722213,-0.106784051880776,-0.183310257645821,0.00706879813851041,-0.242937859032751,-0.198053159813044,-0.295921852790318,-0.21231114208891,-0.29647266984692,-0.19221735792237,-0.454117225686432,-0.391658707279776,-0.275460313796386,-0.186592316991903,-0.447829877525816,-0.354210494111594,-0.230570584106944,-0.17833280142492,-0.444679668775933,-0.286148418538776,-0.201130862707611,-0.175618302010235,-0.354809120586765,-0.233212080398914,0.929495711598025,0.934253620758739,0.869335973634727,0.868279787667594,0.886727295153244,0.137117867096444,-0.202239996647892,-0.0573173010227458,-0.345051979854744,-0.362534501995993,-0.223248080281147,-0.326778436006387,-0.388084644787288,-0.36976098547889,-0.282373736090282,-0.379706126883954,-0.372024002352343,-0.238732254969675
"HL_5N2_t1_R4",0.949899276386246,0.958783992199087,0.922747130644663,0.945443561435556,0.894214804482323,0.949645335615907,0.848928660197374,1,0.0792632846433307,-0.0294716632828783,-0.14346906949021,0.0285787260540412,-0.206985094298393,-0.0956187914845202,-0.388954878117201,-0.222773042252219,-0.380943487693562,-0.0677757562996568,-0.607529061754026,-0.5051160937265,-0.244801926606768,-0.0508466192749389,-0.616991535732091,-0.408344016479408,-0.16242042131981,-0.026008646891493,-0.553473967853099,-0.269079256502729,-0.106035099617112,-0.0186672718066691,-0.382298722815988,-0.1696960257425,0.919378230162481,0.928336423873044,0.912095386226788,0.71714903172434,0.760191856501812,0.0400876909180636,-0.449751903368156,-0.348804347446476,-0.490275560474243,-0.648798846749325,-0.487471200846277,-0.33144928914123,-0.676180805581483,-0.636868855670719,-0.226943603259944,-0.668771197694501,-0.647914721189588,-0.158431836697806
"HL_5N2_t2_R1",0.0805880576807538,-0.0772369957706296,-0.116338088854951,-0.0342792152529587,0.0717338764412548,0.164986341295406,0.00472013663722213,0.0792632846433307,1,0.950603327927868,0.960557967734574,0.988744961912232,0.955025407859643,0.94951053737013,0.832411962983887,0.940753135789843,0.760464571478291,0.93605167308305,0.608627095202868,0.719374995758722,0.896713109974019,0.916912709655072,0.586571603885641,0.809062161488175,0.903231777695285,0.910934027403843,0.704447223221013,0.865161645723632,0.896617212542325,0.906860110290655,0.830768997277469,0.893819120792105,-0.0216109359092516,-0.103171999616853,0.00518907837519659,0.0711189062563736,-0.303621062106873,0.760161141060311,0.179587514025834,-0.534585036238149,0.705282393489238,-0.153642112521507,-0.411912190539845,0.882036895885061,-0.301516186625663,-0.376863638043937,0.904011342601231,-0.324292415775056,-0.378249687849233,0.911483389539291
"HL_5N2_t2_R2",-0.0048343232381318,-0.173275970186632,-0.196291502529775,-0.118219838889264,-0.0297829532404779,0.0521938869228374,-0.106784051880776,-0.0294716632828783,0.950603327927868,1,0.972160809443151,0.946799354750406,0.95263096439689,0.988526786627671,0.793881529625705,0.910592448375756,0.783704631249403,0.983387294377844,0.539341574383657,0.672958827355047,0.909952256020163,0.983629899869467,0.533881410187342,0.801201063654861,0.934399429912101,0.977878246793521,0.679462212949234,0.891519479809996,0.956726013768653,0.974241513105695,0.819237684786219,0.935517060167201,-0.0995025855209891,-0.181522222794711,-0.0448599437107445,-0.0893834690212065,-0.449618374685133,0.637958452097667,0.040409597590403,-0.658439693890409,0.642887192713957,-0.245771494133823,-0.546058661384673,0.886994987442995,-0.377466102162395,-0.467511951329071,0.940825248148802,-0.400490139477865,-0.458290172044949,0.942796277457694
