Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
HL_5N2_t0_R1	3.4	54296	1485	54296	4703662	14806	4668630	0.7447814064871158
HL_5N2_t0_R2	3.4	49994	697	49994	4323734	14692	4300293	0.5421471348607477
HL_5N2_t0_R3	3.4	102954	1173	102954	8882282	27145	8840720	0.4679202934561186
HL_5N2_t0_R4	3.4	194395	2721	194395	16830892	58703	16738736	0.5475407958175954
HL_5N2_t1_R1	3.4	42270	673	42270	3654521	12629	3633348	0.5793645733599561
HL_5N2_t1_R2	3.4	119672	1564	119672	10348130	33047	10295691	0.5067485623006283
HL_5N2_t1_R3	3.4	19812	249	19812	1709826	5113	1701626	0.47958096320912186
HL_5N2_t1_R4	3.4	52458	682	52458	4533095	15996	4508509	0.5423667494283707
HL_5N2_t2_R1	3.4	197509	2710	197509	17070552	54220	16982139	0.5179270125535483
HL_5N2_t2_R2	3.4	126373	1140	126373	10851606	24534	10812704	0.3584907155678155
HL_5N2_t2_R3	3.4	120522	1360	120522	10400302	29951	10353472	0.4502753862339766
HL_5N2_t2_R4	3.4	242292	3103	242292	20909164	65234	20805705	0.49480218338715026
HL_5N2_t3_R1	3.4	176406	2318	176406	15302235	48198	15225337	0.5025278987023791
HL_5N2_t3_R2	3.4	107571	1445	107571	9310085	30544	9261605	0.5207256432137838
HL_5N2_t3_R3	3.4	97457	1843	97457	8450196	29496	8397341	0.6254884502087289
HL_5N2_t3_R4	3.4	164301	1898	164301	14191578	43382	14124786	0.47064533626915905
HL_5N2_t4_R1	3.4	40945	324	40945	3512892	7586	3501095	0.33582017323618263
HL_5N2_t4_R2	3.4	3093	33	3093	267374	999	265927	0.541189494864871
HL_5N2_t4_R3	3.4	39588	491	39588	3418080	10403	3401484	0.4855357393624491
HL_5N2_t4_R4	3.4	66175	1327	66175	5726827	17442	5691960	0.6088362718133444
HL_5N2_t5_R1	3.4	78233	1061	78233	6765905	23742	6728849	0.5476872643053664
HL_5N2_t5_R2	3.4	48660	597	48660	4204701	14094	4183207	0.5111897373915529
HL_5N2_t5_R3	3.4	20399	291	20399	1764487	5505	1755338	0.5185076455649716
HL_5N2_t5_R4	3.4	104963	1577	104963	9069970	25994	9023466	0.5127249593989837
HL_5N2_t6_R1	3.4	61220	843	61220	5293182	21781	5260804	0.6116925509079415
HL_5N2_t6_R2	3.4	104237	1595	104237	9015297	28546	8966832	0.5375862825151517
HL_5N2_t6_R3	3.4	70631	826	70631	6089532	20705	6058399	0.5112543952474509
HL_5N2_t6_R4	3.4	116202	3307	116202	10050277	27698	9977622	0.7229153982522074
HL_5N2_t7_R1	3.4	66320	827	66320	5721020	18407	5692209	0.5035990085684021
HL_5N2_t7_R2	3.4	33323	423	33323	2872636	8972	2858147	0.5043799492869964
HL_5N2_t7_R3	3.4	11377	171	11377	981762	2945	976590	0.5268079228978102
HL_5N2_t7_R4	3.4	36146	1036	36146	3131574	9141	3108241	0.7450885720727021
LD_N2_t0_R1	3.4	151234	1932	151234	13107216	44445	13039325	0.5179665918376565
LD_N2_t0_R2	3.4	46917	593	46917	4061931	13300	4041500	0.5029873722621089
LD_N2_t0_R3	3.4	106869	1791	106869	9281672	35595	9224420	0.616828519689125
LD_N2_t1_R1	3.4	65045	985	65045	5643079	20381	5610787	0.5722407926594684
LD_N2_t1_R2	3.4	37681	488	37681	3262152	10474	3245630	0.5064754799898963
LD_N2_t1_R3	3.4	221410	2946	221410	19172792	63331	19073038	0.5202893767376187
LD_N2_t2_R1	3.4	60894	880	60894	5274842	20970	5243169	0.6004540041199338
LD_N2_t2_R2	3.4	105893	1552	105893	9185063	33223	9133193	0.5647212218359308
LD_N2_t2_R3	3.4	321565	4743	321565	27829235	85968	27684608	0.5196944867510731
LD_N2_t3_R1	3.4	37212	449	37212	3217536	11078	3201090	0.5111364721327127
LD_N2_t3_R2	3.4	2840	38	2840	244782	1541	242747	0.8313519784951509
LD_N2_t3_R3	3.4	238065	4033	238065	20646389	122427	20474897	0.8306149806632046
LD_N2_t4_R1	3.4	95645	1233	95645	8275992	28515	8232470	0.5258825769768748
LD_N2_t4_R2	3.4	3869	63	3869	335205	1478	332885	0.6921137811190167
LD_N2_t4_R3	3.4	251288	3742	251288	21741118	71142	21622942	0.5435599034051515
LD_N2_t5_R1	3.4	23639	362	23639	2051543	7885	2039272	0.5981351597309927
LD_N2_t5_R2	3.4	152551	1945	152551	13200138	54293	13121792	0.5935240980056421
LD_N2_t5_R3	3.4	50864	881	50864	4411140	16220	4384001	0.6152377843369288
