task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	c5/640533	172076	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t3_R1)	COMPLETED	0	2024-09-04 10:45:41.682	2.5s	1s	135.6%	16.5 MB	24.6 MB	63.3 MB	44.3 MB
10	69/89a30a	172419	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t1_R2)	COMPLETED	0	2024-09-04 10:45:44.161	2.3s	1s	136.0%	16.1 MB	24.4 MB	64 MB	45 MB
5	23/465e1a	172753	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t2_R1)	COMPLETED	0	2024-09-04 10:45:46.453	2.5s	1s	154.6%	49.2 MB	280.5 MB	93.4 MB	72.6 MB
1	4a/4393bf	173238	NFCORE_CRISPRISCREEN:CRISPRISCREEN:PREPARE_LIBRARY (2023-05-23_Rubisco_barcodes.fa)	COMPLETED	0	2024-09-04 10:45:48.928	3.5s	1s	464.3%	2.8 MB	11 MB	5.7 MB	2 KB
3	8d/343b40	173453	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t0_R1)	COMPLETED	0	2024-09-04 10:45:52.435	3.2s	2s	201.2%	140 MB	627.9 MB	208.5 MB	180.4 MB
2	5e/79e7d2	173978	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_BUILD (2023-05-23_Rubisco_barcodes.fa)	COMPLETED	0	2024-09-04 10:45:55.597	965ms	0ms	101.5%	10.9 MB	16.2 MB	2.7 MB	8 MB
7	d9/92fd3c	174203	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t4_R1)	COMPLETED	0	2024-09-04 10:45:56.565	7s	6s	51.0%	142.8 MB	630 MB	137.4 MB	113.9 MB
9	8d/a39c17	175033	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t0_R2)	COMPLETED	0	2024-09-04 10:46:03.554	5.9s	2s	107.6%	12.8 MB	19.3 MB	75.8 MB	56 MB
4	5e/08fad3	175360	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t1_R1)	COMPLETED	0	2024-09-04 10:46:09.504	2.5s	1s	158.7%	107.8 MB	469.3 MB	99 MB	77.7 MB
8	2e/e24f11	175838	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t5_R1)	COMPLETED	0	2024-09-04 10:46:12.030	2.2s	2s	122.5%	21.1 MB	28.9 MB	46.2 MB	28.3 MB
