sgRNA	condition	time	group	reference_group	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	fitness
2A1	HL_5N2	0	26	26	NA	0	0	NA	1	1	0.124105323283242
2A1	HL_5N2	2.2	27	26	2686.8098544024847	0.030169210692756063	0.08202546475944257	0.3678029838810887	0.7130201439378723	0.9837356909970835	0.124105323283242
2A1	HL_5N2	4.1	28	26	2686.8098544024847	-0.019605682427312518	0.08091580823632864	-0.2422973069743149	0.8085498003398002	0.8624531203624535	0.124105323283242
2A1	HL_5N2	5.2	29	26	2686.8098544024847	0.04109828276469135	0.08102725828892844	0.5072155177476494	0.6120036080911733	0.6879598472288518	0.124105323283242
2A1	HL_5N2	7.3	30	26	2686.8098544024847	0.26627567602509206	0.08507669099831633	3.1298311311891722	0.0017490681896018998	0.0027985091033630397	0.124105323283242
2A1	HL_5N2	8.8	31	26	2686.8098544024847	0.1268270890043776	0.08244389844816859	1.5383441514973017	0.1239644897696791	0.14167370259391895	0.124105323283242
2A1	HL_5N2	10.01	32	26	2686.8098544024847	0.02351733181690713	0.0819855446473273	0.28684729628949035	0.7742292467381222	0.7742292467381222	0.124105323283242
2A1	HL_5N2	11.6	33	26	2686.8098544024847	-0.07856090899327182	0.08597530029131711	-0.9137613794552331	0.36084224390382746	0.4441135309585569	0.124105323283242
2A1	HL_5O2	0	18	18	NA	0	0	NA	1	1	-0.12558397234709043
2A1	HL_5O2	2.3	19	18	2686.8098544024847	0.01209094301230502	0.08158362072616016	0.1482030694971105	0.8821825094621646	0.9930212054609951	-0.12558397234709043
2A1	HL_5O2	3.3	20	18	2686.8098544024847	-2.973061907943935e-4	0.08157084649059382	-0.0036447603964570455	0.9970919083904923	0.9970919083904923	-0.12558397234709043
2A1	HL_5O2	4.2	21	18	2686.8098544024847	-0.05377076451730427	0.0836991101028351	-0.6424293454403516	0.5205944510359686	0.734552133127869	-0.12558397234709043
2A1	HL_5O2	7.1	22	18	2686.8098544024847	-0.06958410901760244	0.0837531519210203	-0.8308237650950815	0.4060731952004036	0.43314474154709715	-0.12558397234709043
2A1	HL_5O2	8.8	23	18	2686.8098544024847	-0.0957062287648046	0.08338522653188152	-1.1477600139182	0.25106764856055125	0.30900633668990923	-0.12558397234709043
2A1	HL_5O2	9.6	24	18	2686.8098544024847	-0.12914586618712898	0.08705506497480812	-1.4834962931163285	0.13794260059283395	0.1576486863918102	-0.12558397234709043
2A1	HL_5O2	11.2	25	18	2686.8098544024847	-0.23265266441103857	0.09366377920057209	-2.4839128465320086	0.012994760732558463	0.018901470156448674	-0.12558397234709043
2A1	LD_N2	0	5	5	NA	0	0	NA	1	1	1.014784137309929
