"","HL_5N2_t0_R1","HL_5N2_t0_R2","HL_5N2_t0_R3","HL_5N2_t0_R4","HL_5N2_t1_R1","HL_5N2_t1_R2","HL_5N2_t1_R3","HL_5N2_t1_R4","HL_5N2_t2_R1","HL_5N2_t2_R2","HL_5N2_t2_R3","HL_5N2_t2_R4","HL_5N2_t3_R1","HL_5N2_t3_R2","HL_5N2_t3_R3","HL_5N2_t3_R4","HL_5N2_t4_R1","HL_5N2_t4_R2","HL_5N2_t4_R3","HL_5N2_t4_R4","HL_5N2_t5_R1","HL_5N2_t5_R2","HL_5N2_t5_R3","HL_5N2_t5_R4","HL_5N2_t6_R1","HL_5N2_t6_R2","HL_5N2_t6_R3","HL_5N2_t6_R4","HL_5N2_t7_R1","HL_5N2_t7_R2","HL_5N2_t7_R3","HL_5N2_t7_R4","HL_5O2_t0_R1","HL_5O2_t0_R2","HL_5O2_t0_R3","HL_5O2_t0_R4","HL_5O2_t1_R1","HL_5O2_t1_R2","HL_5O2_t1_R3","HL_5O2_t1_R4","HL_5O2_t2_R1","HL_5O2_t2_R2","HL_5O2_t2_R3","HL_5O2_t2_R4","HL_5O2_t3_R1","HL_5O2_t3_R2","HL_5O2_t3_R3","HL_5O2_t3_R4","HL_5O2_t4_R1","HL_5O2_t4_R2","HL_5O2_t4_R3","HL_5O2_t4_R4","HL_5O2_t5_R1","HL_5O2_t5_R2","HL_5O2_t5_R3","HL_5O2_t5_R4","HL_5O2_t6_R1","HL_5O2_t6_R2","HL_5O2_t6_R3","HL_5O2_t6_R4","HL_5O2_t7_R1","HL_5O2_t7_R2","HL_5O2_t7_R3","HL_5O2_t7_R4","LD_N2_t0_R1","LD_N2_t0_R2","LD_N2_t1_R1","LD_N2_t1_R2","LD_N2_t2_R1","LD_N2_t2_R2","LD_N2_t3_R1","LD_N2_t3_R2","LD_N2_t4_R1","LD_N2_t4_R2","LD_N2_t5_R1","LD_N2_t5_R2","pool_t0_R1","pool_t0_R2","pool_t0_R3","pool_t1_R1","pool_t1_R2","pool_t1_R3"
"HL_5N2_t0_R1",1,0.943447116551594,0.951284725642829,0.976823478750748,0.917200261398622,0.947940260576603,0.865223167451514,0.949899276386246,0.0805880576807538,-0.0048343232381318,-0.110061202234802,0.0537673750384311,-0.190032925275504,-0.0984402993752707,-0.368499633287971,-0.222964227909048,-0.382032904797368,-0.0802582379191125,-0.57070645890027,-0.499696818713691,-0.260903306621144,-0.0631736114613011,-0.586584215115841,-0.414591349943247,-0.189328627185136,-0.0348499310985374,-0.530014162983658,-0.284280112242969,-0.129200300463291,-0.0259163978094973,-0.380613667710157,-0.192655726635069,0.936961047364024,0.939658935161249,0.931329214891925,0.892164008849268,0.906172098553157,0.934494200820758,0.957825480070442,0.969874563112546,0.771589141949982,0.579802346090015,0.642208633726252,0.25856440418183,0.251207406211171,0.205520340167777,0.203399432141248,0.0836968366242981,-0.056951258717057,0.0104881738344819,-0.227645220909649,-0.0697676387772042,-0.0885048117131759,-0.0168849569023146,-0.130304345717697,-0.0747804388745895,-0.0625368917690469,0.223660644531728,-0.0837959996255894,-0.0618527284778445,-0.0191894866155205,0.0132571866536358,-0.0598146520440961,-0.0305436445503088,0.924866139139439,0.915826753311869,0.78708010216978,0.793582192039165,-0.469764735379198,-0.313047396226594,-0.645380401335442,-0.497490555700739,-0.666163781109712,-0.632099062528228,-0.668976728144512,-0.631960033539115,0.00530967325497505,0.154332949811088,0.112566931355449,0.757261778574354,0.781757000044851,0.765238008956733
"HL_5N2_t0_R2",0.943447116551594,1,0.957372396807758,0.95289762526429,0.936293726120974,0.958169108788067,0.898023411479745,0.958783992199087,-0.0772369957706296,-0.173275970186632,-0.291218824561054,-0.11827084584346,-0.353207656480805,-0.252312215367313,-0.484264476651034,-0.359638051623119,-0.478858817573955,-0.235873814301287,-0.656997704130454,-0.599114534693918,-0.387876545155857,-0.214613530182081,-0.663779777830583,-0.520867016412867,-0.318418707977608,-0.191472296124583,-0.632023806426771,-0.407224063190738,-0.264261100233796,-0.182875048071963,-0.493600407503285,-0.322639943191005,0.947846614698552,0.96073154226008,0.976145782482357,0.957966632621012,0.944444092007668,0.925095028944466,0.941549590625602,0.964680056502008,0.631603427336799,0.469487883101779,0.550271531446523,0.081865377040718,0.121849746367164,0.082632767166336,0.0407269067713179,-0.0779785724914802,-0.194018552291036,-0.0321493271607202,-0.312623672523768,-0.205599457761818,-0.221862163248514,-0.117568906906922,-0.249952330736422,-0.217102174842804,-0.198794255005905,0.10075216796941,-0.199339336833873,-0.205741673970829,-0.153125064110269,-0.120972551767317,-0.177113596079932,-0.184464261849122,0.973460852666766,0.98355976085653,0.723312025832438,0.847731702371701,-0.4580004861263,-0.235353952656244,-0.598913794489321,-0.386577732669692,-0.594268900131286,-0.549796689774115,-0.576554570975363,-0.561300078886538,-0.136539082107137,0.0342085613888142,-0.067790574758595,0.866157313666869,0.886683873935379,0.853770222099688
"HL_5N2_t0_R3",0.951284725642829,0.957372396807758,1,0.984132083759158,0.905755161074265,0.930481202115557,0.891958393063723,0.922747130644663,-0.116338088854951,-0.196291502529775,-0.302515169051812,-0.141249867294091,-0.378474754400001,-0.289203209135331,-0.519389345402788,-0.394360657211498,-0.489877428998217,-0.262195485046228,-0.681134118800476,-0.618328017924697,-0.416881561944149,-0.245307104285225,-0.68400414064729,-0.549588165172894,-0.343574785929115,-0.221191436006678,-0.655374727491203,-0.43377086233886,-0.290862477214117,-0.213279588258128,-0.525548335386729,-0.350044939800894,0.980344837116816,0.974243394077535,0.971875581024575,0.951609561255264,0.964334131641947,0.932269004892225,0.969041016454709,0.984078838112614,0.627745934610223,0.435668224374908,0.515418679830034,0.0616321286755473,0.104707200909395,0.0512171761441115,0.0308186948073342,-0.107010187255797,-0.228294772259413,-0.0916046291904105,-0.342058767062959,-0.234162328626588,-0.249223490838858,-0.137666232843424,-0.272690169350996,-0.244027098256358,-0.223319395792363,0.0755999550720491,-0.218234849278361,-0.233930956647379,-0.20162402581375,-0.142933448321285,-0.195023544558718,-0.212810179314232,0.933679923348798,0.935206105771241,0.793581244718929,0.855322793064484,-0.454224647334407,-0.184618441520167,-0.567836073490982,-0.387962915618101,-0.566677193193199,-0.528588740369785,-0.560910248058012,-0.533413882157172,-0.160481872288857,0.0101772181606984,-0.0507009845585561,0.871227237961299,0.889525022584082,0.881610813124736
"HL_5N2_t0_R4",0.976823478750748,0.95289762526429,0.984132083759158,1,0.90408966583639,0.942450243893871,0.876597457724898,0.945443561435556,-0.0342792152529587,-0.118219838889264,-0.218445428314808,-0.0603128654627635,-0.298124694971861,-0.208880926813712,-0.459214168864626,-0.323218740139218,-0.431952749289902,-0.180483527815441,-0.647126065656549,-0.572111211363595,-0.345576580853879,-0.167455474463931,-0.642794082882931,-0.493173137084772,-0.275061975516203,-0.142438262059831,-0.602033136390059,-0.369223033039512,-0.222196474381787,-0.135643675305893,-0.462789442068428,-0.278849748154136,0.969306158931411,0.967627929453095,0.954691252085585,0.928413307882914,0.948671203141241,0.93923891753258,0.976417712627942,0.977644803750783,0.691360148969462,0.505426423270372,0.571833902835109,0.14924938830688,0.158021285564915,0.122092395694857,0.10709441184739,-0.02252255876727,-0.155287154441266,-0.069364700931843,-0.291705107328917,-0.163974402290418,-0.180066112944645,-0.0802310647627385,-0.209586270118019,-0.173283514543282,-0.152668265249576,0.130777861849086,-0.158477558805684,-0.160953614492735,-0.109573059786444,-0.0748100346397934,-0.136404528378828,-0.1353702621073,0.918175635025771,0.924482332272337,0.798048415752531,0.831328291728651,-0.46576940021757,-0.245161610932331,-0.606938986929863,-0.44664133738587,-0.618285153146415,-0.579338580847097,-0.616110593462739,-0.585155103110937,-0.101086655225283,0.0411838163106581,0.01286017098767,0.821495019342849,0.838350654228506,0.829603960197552
"HL_5N2_t1_R1",0.917200261398622,0.936293726120974,0.905755161074265,0.90408966583639,1,0.932350098423778,0.916778551775402,0.894214804482323,0.0717338764412548,-0.0297829532404779,-0.131459512199435,0.0636263571564679,-0.192600317569158,-0.120198591776661,-0.322236029416995,-0.207236038689339,-0.334753053367594,-0.109534786419033,-0.508952402547046,-0.449613601458758,-0.251156804683143,-0.0906316056601552,-0.521304483319759,-0.376906447806741,-0.191692990348269,-0.0713102578302035,-0.487760929173543,-0.269694683712133,-0.140336784114457,-0.0632217253704682,-0.359222081205745,-0.19420942433065,0.856287103458875,0.877058029568416,0.934095071966925,0.89971466370289,0.87041612072802,0.90646948971903,0.888668316792412,0.922815512140631,0.690765869373398,0.558241682397126,0.620293181595141,0.21314389665221,0.302413549152059,0.209542348321403,0.177133550451226,0.0159536452956393,-0.0654562820136856,0.110711925377196,-0.188163887070656,-0.0840636588900202,-0.101296796744427,0.0159984359800023,-0.130871826897497,-0.0935887580264083,-0.0810613597015724,0.218756174956912,-0.0892329540321933,-0.0848688611812855,-0.0539000015747167,-0.000658109537949693,-0.0673844804682094,-0.0660693164117685,0.960762887639412,0.923563774239245,0.769212234824042,0.846080142322748,-0.368044571342433,-0.235959631490982,-0.527389538605103,-0.378416815185331,-0.55263032734043,-0.512329574877351,-0.546203671062286,-0.527905244830232,0.00547770464121136,0.183453637875116,0.114749781643534,0.732807913397949,0.774388643269456,0.731121075311931
"HL_5N2_t1_R2",0.947940260576603,0.958169108788067,0.930481202115557,0.942450243893871,0.932350098423778,1,0.921683824730602,0.949645335615907,0.164986341295406,0.0521938869228374,-0.0471730130484809,0.131276162139129,-0.116529431429478,-0.0274468372384708,-0.26016569963791,-0.117245592098689,-0.280709365693489,-0.0208887537389521,-0.476282805572706,-0.403416952898342,-0.174061022809612,-0.0081229946006208,-0.487851757127247,-0.317250338455535,-0.109577260791271,0.0143711730863027,-0.441227993812993,-0.205309032526601,-0.0648173387628841,0.0216787653438522,-0.28885408310681,-0.118467410467647,0.891567952412328,0.914443104394897,0.933622056278698,0.874767778342768,0.910651777345118,0.920258348708462,0.937454033876185,0.963988519663387,0.778886009542548,0.650058856849883,0.73436587980388,0.300863137451033,0.340492081597282,0.310274133238157,0.269162849669499,0.129878372547577,0.0283442581202053,0.151263675211686,-0.122436793658516,0.00244126062672725,-0.0187035770771081,0.0871825133660591,-0.059525993950792,-0.0103070937284901,0.0036329800482196,0.308609156479212,-0.0173574643589121,7.90305461243166e-05,0.0527888151048713,0.0865305332736614,0.00068581516289596,0.0232045876833188,0.947780208898757,0.943946499142886,0.779451405020128,0.780395483554714,-0.35582814079493,-0.312152830771453,-0.570976009716303,-0.441728107167105,-0.605519763033397,-0.59122487370729,-0.593847358903597,-0.596888775191928,0.0512226357171699,0.168551899648766,0.123274085232069,0.738590291090066,0.7675426867807,0.718901062711721
"HL_5N2_t1_R3",0.865223167451514,0.898023411479745,0.891958393063723,0.876597457724898,0.916778551775402,0.921683824730602,1,0.848928660197374,0.00472013663722213,-0.106784051880776,-0.183310257645821,0.00706879813851041,-0.242937859032751,-0.198053159813044,-0.295921852790318,-0.21231114208891,-0.29647266984692,-0.19221735792237,-0.454117225686432,-0.391658707279776,-0.275460313796386,-0.186592316991903,-0.447829877525816,-0.354210494111594,-0.230570584106944,-0.17833280142492,-0.444679668775933,-0.286148418538776,-0.201130862707611,-0.175618302010235,-0.354809120586765,-0.233212080398914,0.848488371088569,0.845038280647825,0.912456187514998,0.87831052671458,0.886874952506147,0.881455824851415,0.863246171535268,0.897133322622379,0.617627866997372,0.502989014873901,0.564813316866121,0.118362582201153,0.223305200027886,0.200949385021085,0.105622182861686,-0.0699575732627119,-0.124618963922377,0.200750357299493,-0.185503970598675,-0.158943318004406,-0.172259387490809,0.0543882975225766,-0.173781721859097,-0.174582604480415,-0.160472340886131,0.175361132288276,-0.141120806656639,-0.173655050306991,-0.146061684583861,-0.0759731112834422,-0.127464023110341,-0.173069828466787,0.929495711598025,0.934253620758739,0.868279787667594,0.886727295153244,-0.202239996647892,-0.0573173010227458,-0.362534501995993,-0.223248080281147,-0.388084644787288,-0.36976098547889,-0.379706126883954,-0.372024002352343,-0.0267506758650959,0.121883757735195,0.0585717386077692,0.751262827883834,0.794599555301863,0.743420010193816
"HL_5N2_t1_R4",0.949899276386246,0.958783992199087,0.922747130644663,0.945443561435556,0.894214804482323,0.949645335615907,0.848928660197374,1,0.0792632846433307,-0.0294716632828783,-0.14346906949021,0.0285787260540412,-0.206985094298393,-0.0956187914845202,-0.388954878117201,-0.222773042252219,-0.380943487693562,-0.0677757562996568,-0.607529061754026,-0.5051160937265,-0.244801926606768,-0.0508466192749389,-0.616991535732091,-0.408344016479408,-0.16242042131981,-0.026008646891493,-0.553473967853099,-0.269079256502729,-0.106035099617112,-0.0186672718066691,-0.382298722815988,-0.1696960257425,0.910934760627835,0.942004916071131,0.932831114376215,0.888142766828376,0.892559061008208,0.918140453749967,0.929965100173034,0.943491685754647,0.736056320183254,0.568207820296937,0.64815934402577,0.222383280201135,0.233360257100008,0.226325707399357,0.187188688427753,0.0726164140537327,-0.0282938487247293,0.0187762594371806,-0.180405172487612,-0.0411405529392364,-0.0584010197172239,-0.00226812283314423,-0.0952871835018081,-0.0533679368956444,-0.0307247724678909,0.259304803103044,-0.0404118413160991,-0.0408671596513957,0.0247258032973487,0.0535054843271142,-0.0175639686855109,-0.0166813287246369,0.919378230162481,0.928336423873044,0.71714903172434,0.760191856501812,-0.449751903368156,-0.348804347446476,-0.648798846749325,-0.487471200846277,-0.676180805581483,-0.636868855670719,-0.668771197694501,-0.647914721189588,-0.0988845008201298,0.0725013550039359,-0.0113154775042032,0.748895969799647,0.778105032856361,0.753679785796732
"HL_5N2_t2_R1",0.0805880576807538,-0.0772369957706296,-0.116338088854951,-0.0342792152529587,0.0717338764412548,0.164986341295406,0.00472013663722213,0.0792632846433307,1,0.950603327927868,0.960557967734574,0.988744961912232,0.955025407859643,0.94951053737013,0.832411962983887,0.940753135789843,0.760464571478291,0.93605167308305,0.608627095202868,0.719374995758722,0.896713109974019,0.916912709655072,0.586571603885641,0.809062161488175,0.903231777695285,0.910934027403843,0.704447223221013,0.865161645723632,0.896617212542325,0.906860110290655,0.830768997277469,0.893819120792105,-0.198823129229362,-0.149643885966335,-0.119903437878085,-0.269416110078218,-0.173362981320096,0.018812100558496,-0.00270554445376175,0.0152552398825871,0.639228293285715,0.775707748278659,0.762712353712925,0.929158545537274,0.915726366775259,0.937385334398219,0.953828877652015,0.897254698617904,0.955415272057932,0.72783414083581,0.826900502173401,0.920855742911955,0.907254933575867,0.838336550377062,0.8640207281311,0.917479187232447,0.904831419857067,0.896500893785411,0.844062420433437,0.913781274532844,0.916564398356816,0.923174737415148,0.83689827150234,0.913402652388963,-0.0216109359092516,-0.103171999616853,0.0711189062563736,-0.303621062106873,0.179587514025834,-0.534585036238149,-0.153642112521507,-0.411912190539845,-0.301516186625663,-0.376863638043937,-0.324292415775056,-0.378249687849233,0.66617598444868,0.582992547717208,0.70050839921833,-0.511164388986093,-0.466340634733091,-0.524704678396109
"HL_5N2_t2_R2",-0.0048343232381318,-0.173275970186632,-0.196291502529775,-0.118219838889264,-0.0297829532404779,0.0521938869228374,-0.106784051880776,-0.0294716632828783,0.950603327927868,1,0.972160809443151,0.946799354750406,0.95263096439689,0.988526786627671,0.793881529625705,0.910592448375756,0.783704631249403,0.983387294377844,0.539341574383657,0.672958827355047,0.909952256020163,0.983629899869467,0.533881410187342,0.801201063654861,0.934399429912101,0.977878246793521,0.679462212949234,0.891519479809996,0.956726013768653,0.974241513105695,0.819237684786219,0.935517060167201,-0.257154772978746,-0.214575984319662,-0.181148473944736,-0.312799281153576,-0.265583146136317,-0.0364148245436649,-0.0763572692385853,-0.0526714948450884,0.59483926547687,0.732454535475316,0.709108119024517,0.954311217108071,0.908744041674306,0.895853176535869,0.964993963568672,0.969174882839119,0.970314666911851,0.633178710338201,0.837188857765059,0.969308676633435,0.96148910169779,0.778892497025433,0.919481083200371,0.974758446236177,0.962307848581786,0.919240924815866,0.903345452398015,0.97741142980309,0.954704375696706,0.962247006763157,0.903274500100312,0.973724513179363,-0.0995025855209891,-0.181522222794711,-0.0893834690212065,-0.449618374685133,0.040409597590403,-0.658439693890409,-0.245771494133823,-0.546058661384673,-0.377466102162395,-0.467511951329071,-0.400490139477865,-0.458290172044949,0.522736877540481,0.399524222321188,0.565950742941579,-0.575085518265338,-0.537943397290968,-0.578911632374063
