Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
HL_5N2_t0_R1	3.4	54296	1485	54296	4703662	14806	4668630	0.7447814064871158
HL_5N2_t0_R2	3.4	49994	697	49994	4323734	14692	4300293	0.5421471348607477
HL_5N2_t0_R3	3.4	102954	1173	102954	8882282	27145	8840720	0.4679202934561186
HL_5N2_t0_R4	3.4	194395	2721	194395	16830892	58703	16738736	0.5475407958175954
HL_5N2_t1_R1	3.4	42270	673	42270	3654521	12629	3633348	0.5793645733599561
HL_5N2_t1_R2	3.4	119672	1564	119672	10348130	33047	10295691	0.5067485623006283
HL_5N2_t1_R3	3.4	19812	249	19812	1709826	5113	1701626	0.47958096320912186
HL_5N2_t1_R4	3.4	52458	682	52458	4533095	15996	4508509	0.5423667494283707
HL_5N2_t2_R1	3.4	197509	2710	197509	17070552	54220	16982139	0.5179270125535483
HL_5N2_t2_R2	3.4	126373	1140	126373	10851606	24534	10812704	0.3584907155678155
HL_5N2_t2_R3	3.4	120522	1360	120522	10400302	29951	10353472	0.4502753862339766
HL_5N2_t2_R4	3.4	242292	3103	242292	20909164	65234	20805705	0.49480218338715026
HL_5N2_t3_R1	3.4	176406	2318	176406	15302235	48198	15225337	0.5025278987023791
HL_5N2_t3_R2	3.4	107571	1445	107571	9310085	30544	9261605	0.5207256432137838
HL_5N2_t3_R3	3.4	97457	1843	97457	8450196	29496	8397341	0.6254884502087289
HL_5N2_t3_R4	3.4	164301	1898	164301	14191578	43382	14124786	0.47064533626915905
HL_5N2_t4_R1	3.4	40945	324	40945	3512892	7586	3501095	0.33582017323618263
HL_5N2_t4_R2	3.4	3093	33	3093	267374	999	265927	0.541189494864871
HL_5N2_t4_R3	3.4	39588	491	39588	3418080	10403	3401484	0.4855357393624491
HL_5N2_t4_R4	3.4	66175	1327	66175	5726827	17442	5691960	0.6088362718133444
HL_5N2_t5_R1	3.4	78233	1061	78233	6765905	23742	6728849	0.5476872643053664
HL_5N2_t5_R2	3.4	48660	597	48660	4204701	14094	4183207	0.5111897373915529
HL_5N2_t5_R3	3.4	20399	291	20399	1764487	5505	1755338	0.5185076455649716
HL_5N2_t5_R4	3.4	104963	1577	104963	9069970	25994	9023466	0.5127249593989837
HL_5N2_t6_R1	3.4	61220	843	61220	5293182	21781	5260804	0.6116925509079415
HL_5N2_t6_R2	3.4	104237	1595	104237	9015297	28546	8966832	0.5375862825151517
HL_5N2_t6_R3	3.4	70631	826	70631	6089532	20705	6058399	0.5112543952474509
HL_5N2_t6_R4	3.4	116202	3307	116202	10050277	27698	9977622	0.7229153982522074
HL_5N2_t7_R1	3.4	66320	827	66320	5721020	18407	5692209	0.5035990085684021
HL_5N2_t7_R2	3.4	33323	423	33323	2872636	8972	2858147	0.5043799492869964
HL_5N2_t7_R3	3.4	11377	171	11377	981762	2945	976590	0.5268079228978102
HL_5N2_t7_R4	3.4	36146	1036	36146	3131574	9141	3108241	0.7450885720727021
HL_5O2_t0_R1	3.4	40504	1141	40504	3512636	11293	3485644	0.7684257634437499
HL_5O2_t0_R2	3.4	78461	1089	78461	6787797	29280	6744809	0.6333129879989045
HL_5O2_t0_R3	3.4	24857	337	24857	2149642	7224	2138226	0.5310651727124795
HL_5O2_t0_R4	3.4	221043	3463	221043	19167767	70765	19054010	0.5934807116551448
HL_5O2_t1_R1	3.4	81190	2123	81190	7051671	24150	6999017	0.7466882672206346
HL_5O2_t1_R2	3.4	69024	868	69024	5962033	20814	5930301	0.5322345582454844
HL_5O2_t1_R3	3.4	243306	3678	243306	21074361	68841	20959979	0.5427542975087121
HL_5O2_t1_R4	3.4	186629	2208	186629	16098738	58004	16012898	0.5332094975394966
HL_5O2_t2_R1	3.4	86861	2281	86861	7528807	25229	7472810	0.7437698960804813
HL_5O2_t2_R2	3.4	116836	1618	116836	10114687	36602	10057626	0.5641400470424839
HL_5O2_t2_R3	3.4	156202	1780	156202	13495012	42018	13430897	0.4751014671198514
