Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
HL_5N2_t0_R1	54295	47962	6333	0	0	0	0	0	0	0	0	0	0	0	0	88.33594253614513
HL_5N2_t0_R2	49993	42696	7297	0	0	0	0	0	0	0	0	0	0	0	0	85.40395655391755
HL_5N2_t0_R3	102950	93170	9780	0	0	0	0	0	0	0	0	0	0	0	0	90.50024283632831
HL_5N2_t0_R4	194391	171689	22702	0	0	0	0	0	0	0	0	0	0	0	0	88.32147578848814
HL_5N2_t1_R1	42264	36904	5360	0	0	0	0	0	0	0	0	0	0	0	0	87.31781184932802
HL_5N2_t1_R2	119669	105801	13868	0	0	0	0	0	0	0	0	0	0	0	0	88.41136802346472
HL_5N2_t1_R3	19806	17752	2054	0	0	0	0	0	0	0	0	0	0	0	0	89.62940523073816
HL_5N2_t1_R4	52449	45618	6831	0	0	0	0	0	0	0	0	0	0	0	0	86.97591946462278
HL_5N2_t2_R1	197507	175844	21663	0	0	0	0	0	0	0	0	0	0	0	0	89.03178115206043
HL_5N2_t2_R2	126371	115998	10373	0	0	0	0	0	0	0	0	0	0	0	0	91.79162940864597
HL_5N2_t2_R3	120520	108564	11956	0	0	0	0	0	0	0	0	0	0	0	0	90.079654829074
HL_5N2_t2_R4	242290	219364	22926	0	0	0	0	0	0	0	0	0	0	0	0	90.53778529860911
HL_5N2_t3_R1	176404	153957	22447	0	0	0	0	0	0	0	0	0	0	0	0	87.27523185415296
HL_5N2_t3_R2	107569	95134	12435	0	0	0	0	0	0	0	0	0	0	0	0	88.43997806059366
HL_5N2_t3_R3	97456	84794	12662	0	0	0	0	0	0	0	0	0	0	0	0	87.00747003776063
HL_5N2_t3_R4	164299	145752	18547	0	0	0	0	0	0	0	0	0	0	0	0	88.71143464050299
HL_5N2_t4_R1	40943	37878	3065	0	0	0	0	0	0	0	0	0	0	0	0	92.51398285421195
HL_5N2_t4_R2	3088	2688	400	0	0	0	0	0	0	0	0	0	0	0	0	87.04663212435233
HL_5N2_t4_R3	39586	35696	3890	0	0	0	0	0	0	0	0	0	0	0	0	90.17329358864245
HL_5N2_t4_R4	66170	58395	7775	0	0	0	0	0	0	0	0	0	0	0	0	88.24996221852803
HL_5N2_t5_R1	78225	68315	9910	0	0	0	0	0	0	0	0	0	0	0	0	87.33141578779163
HL_5N2_t5_R2	48650	43348	5302	0	0	0	0	0	0	0	0	0	0	0	0	89.10174717368962
HL_5N2_t5_R3	20396	18092	2304	0	0	0	0	0	0	0	0	0	0	0	0	88.70366738576192
HL_5N2_t5_R4	104961	94733	10228	0	0	0	0	0	0	0	0	0	0	0	0	90.25542820666725
HL_5N2_t6_R1	61217	53844	7373	0	0	0	0	0	0	0	0	0	0	0	0	87.95595994576671
HL_5N2_t6_R2	104233	93315	10918	0	0	0	0	0	0	0	0	0	0	0	0	89.52539023150058
HL_5N2_t6_R3	70630	64276	6354	0	0	0	0	0	0	0	0	0	0	0	0	91.00382273821323
HL_5N2_t6_R4	116197	106065	10132	0	0	0	0	0	0	0	0	0	0	0	0	91.28032565384649
HL_5N2_t7_R1	66315	58431	7884	0	0	0	0	0	0	0	0	0	0	0	0	88.11128703913141
HL_5N2_t7_R2	33322	29047	4275	0	0	0	0	0	0	0	0	0	0	0	0	87.17063801692575
HL_5N2_t7_R3	11374	10185	1189	0	0	0	0	0	0	0	0	0	0	0	0	89.54633374362582
HL_5N2_t7_R4	36141	32460	3681	0	0	0	0	0	0	0	0	0	0	0	0	89.81489167427576
HL_5O2_t0_R1	40501	36011	4490	0	0	0	0	0	0	0	0	0	0	0	0	88.9138539789141
HL_5O2_t0_R2	78459	68825	9634	0	0	0	0	0	0	0	0	0	0	0	0	87.72097528645534
HL_5O2_t0_R3	24852	21808	3044	0	0	0	0	0	0	0	0	0	0	0	0	87.75148881377757
HL_5O2_t0_R4	221039	194868	26171	0	0	0	0	0	0	0	0	0	0	0	0	88.16000796239578
HL_5O2_t1_R1	81186	70635	10551	0	0	0	0	0	0	0	0	0	0	0	0	87.00391693149065
HL_5O2_t1_R2	69009	60566	8443	0	0	0	0	0	0	0	0	0	0	0	0	87.76536393803707
HL_5O2_t1_R3	243304	215587	27717	0	0	0	0	0	0	0	0	0	0	0	0	88.60807878209977
HL_5O2_t1_R4	186626	169054	17572	0	0	0	0	0	0	0	0	0	0	0	0	90.58437731077127
HL_5O2_t2_R1	86857	76728	10129	0	0	0	0	0	0	0	0	0	0	0	0	88.33830318799866
HL_5O2_t2_R2	116828	101360	15468	0	0	0	0	0	0	0	0	0	0	0	0	86.76002328208992
HL_5O2_t2_R3	156200	138375	17825	0	0	0	0	0	0	0	0	0	0	0	0	88.58834827144686
HL_5O2_t2_R4	126627	111097	15530	0	0	0	0	0	0	0	0	0	0	0	0	87.73563300086079
HL_5O2_t3_R1	24762	21277	3485	0	0	0	0	0	0	0	0	0	0	0	0	85.92601566917051
HL_5O2_t3_R2	64071	56198	7873	0	0	0	0	0	0	0	0	0	0	0	0	87.71206942298387
HL_5O2_t3_R3	47327	42719	4608	0	0	0	0	0	0	0	0	0	0	0	0	90.26348595938893
HL_5O2_t3_R4	10202	9067	1135	0	0	0	0	0	0	0	0	0	0	0	0	88.87473044501078
HL_5O2_t4_R1	12646	10718	1928	0	0	0	0	0	0	0	0	0	0	0	0	84.75407243397122
HL_5O2_t4_R2	75483	66166	9317	0	0	0	0	0	0	0	0	0	0	0	0	87.65682339069724
HL_5O2_t4_R3	29608	26326	3282	0	0	0	0	0	0	0	0	0	0	0	0	88.91515806538773
HL_5O2_t4_R4	34158	29356	4802	0	0	0	0	0	0	0	0	0	0	0	0	85.94179987118684
HL_5O2_t5_R1	37967	32860	5107	0	0	0	0	0	0	0	0	0	0	0	0	86.54884504964838
HL_5O2_t5_R2	28472	24426	4046	0	0	0	0	0	0	0	0	0	0	0	0	85.78954762573757
HL_5O2_t5_R3	111792	100799	10993	0	0	0	0	0	0	0	0	0	0	0	0	90.16655932445971
HL_5O2_t5_R4	42330	37710	4620	0	0	0	0	0	0	0	0	0	0	0	0	89.08575478384124
HL_5O2_t6_R1	43004	37004	6000	0	0	0	0	0	0	0	0	0	0	0	0	86.04780950609245
HL_5O2_t6_R2	4268	3153	1115	0	0	0	0	0	0	0	0	0	0	0	0	73.87535145267104
HL_5O2_t6_R3	76212	67605	8607	0	0	0	0	0	0	0	0	0	0	0	0	88.70650291292709
HL_5O2_t6_R4	69568	61192	8376	0	0	0	0	0	0	0	0	0	0	0	0	87.95998160073597
HL_5O2_t7_R1	2437	1219	1218	0	0	0	0	0	0	0	0	0	0	0	0	50.02051702913418
HL_5O2_t7_R2	7744	6839	905	0	0	0	0	0	0	0	0	0	0	0	0	88.31353305785123
HL_5O2_t7_R3	49388	44751	4637	0	0	0	0	0	0	0	0	0	0	0	0	90.61107961448126
HL_5O2_t7_R4	104509	93227	11282	0	0	0	0	0	0	0	0	0	0	0	0	89.2047574850013
LD_N2_t0_R1	151224	135125	16099	0	0	0	0	0	0	0	0	0	0	0	0	89.35420303655505
LD_N2_t0_R2	46913	42199	4714	0	0	0	0	0	0	0	0	0	0	0	0	89.9516125594185
LD_N2_t1_R1	65040	57642	7398	0	0	0	0	0	0	0	0	0	0	0	0	88.62546125461255
LD_N2_t1_R2	37677	33978	3699	0	0	0	0	0	0	0	0	0	0	0	0	90.18233935822916
LD_N2_t2_R1	60887	54876	6011	0	0	0	0	0	0	0	0	0	0	0	0	90.12761344786243
LD_N2_t2_R2	105891	94439	11452	0	0	0	0	0	0	0	0	0	0	0	0	89.1851054386114
LD_N2_t3_R1	37208	33911	3297	0	0	0	0	0	0	0	0	0	0	0	0	91.13900236508277
LD_N2_t3_R2	2835	2480	355	0	0	0	0	0	0	0	0	0	0	0	0	87.47795414462081
LD_N2_t4_R1	95638	86757	8881	0	0	0	0	0	0	0	0	0	0	0	0	90.71394215688325
LD_N2_t4_R2	3866	3405	461	0	0	0	0	0	0	0	0	0	0	0	0	88.0755302638386
LD_N2_t5_R1	23636	20781	2855	0	0	0	0	0	0	0	0	0	0	0	0	87.92096801489254
LD_N2_t5_R2	152544	138791	13753	0	0	0	0	0	0	0	0	0	0	0	0	90.98424061254458
pool_t0_R1	37703	33943	3760	0	0	0	0	0	0	0	0	0	0	0	0	90.02731878099885
pool_t0_R2	13094	11933	1161	0	0	0	0	0	0	0	0	0	0	0	0	91.13334351611425
pool_t0_R3	7537	6714	823	0	0	0	0	0	0	0	0	0	0	0	0	89.08053602229003
pool_t1_R1	540090	477436	62654	0	0	0	0	0	0	0	0	0	0	0	0	88.39934085059897
pool_t1_R2	634008	565264	68744	0	0	0	0	0	0	0	0	0	0	0	0	89.15723460902701
pool_t1_R3	484251	433732	50519	0	0	0	0	0	0	0	0	0	0	0	0	89.56760027341193
