sample	baseline	time	common	pool	LD_N2	HL_5O2	HL_5N2
pool_t0_R1	1	0	0	0	0	0	0
pool_t0_R2	1	0	0	0	0	0	0
pool_t0_R3	1	0	0	0	0	0	0
pool_t1_R1	1	1	1	1	0	0	0
pool_t1_R2	1	1	1	1	0	0	0
pool_t1_R3	1	1	1	1	0	0	0
LD_N2_t0_R1	1	0	0	0	0	0	0
LD_N2_t1_R1	1	3.4	1	0	1	0	0
LD_N2_t2_R1	1	5.8	1	0	1	0	0
LD_N2_t3_R1	1	7.4	1	0	1	0	0
LD_N2_t4_R1	1	9.5	1	0	1	0	0
LD_N2_t5_R1	1	10.8	1	0	1	0	0
LD_N2_t0_R2	1	0	0	0	0	0	0
LD_N2_t1_R2	1	3.4	1	0	1	0	0
LD_N2_t2_R2	1	5.8	1	0	1	0	0
LD_N2_t3_R2	1	7.4	1	0	1	0	0
LD_N2_t4_R2	1	9.5	1	0	1	0	0
LD_N2_t5_R2	1	10.8	1	0	1	0	0
HL_5O2_t0_R1	1	0	0	0	0	0	0
HL_5O2_t1_R1	1	2.3	1	0	0	1	0
HL_5O2_t2_R1	1	3.3	1	0	0	1	0
HL_5O2_t3_R1	1	4.2	1	0	0	1	0
HL_5O2_t4_R1	1	7.1	1	0	0	1	0
HL_5O2_t5_R1	1	8.8	1	0	0	1	0
HL_5O2_t6_R1	1	9.6	1	0	0	1	0
HL_5O2_t7_R1	1	11.2	1	0	0	1	0
HL_5O2_t0_R2	1	0	0	0	0	0	0
HL_5O2_t1_R2	1	2.3	1	0	0	1	0
HL_5O2_t2_R2	1	3.3	1	0	0	1	0
HL_5O2_t3_R2	1	4.2	1	0	0	1	0
HL_5O2_t4_R2	1	7.1	1	0	0	1	0
HL_5O2_t5_R2	1	8.8	1	0	0	1	0
HL_5O2_t6_R2	1	9.6	1	0	0	1	0
HL_5O2_t7_R2	1	11.2	1	0	0	1	0
HL_5O2_t0_R3	1	0	0	0	0	0	0
HL_5O2_t1_R3	1	2.3	1	0	0	1	0
HL_5O2_t2_R3	1	3.3	1	0	0	1	0
HL_5O2_t3_R3	1	4.2	1	0	0	1	0
HL_5O2_t4_R3	1	7.1	1	0	0	1	0
HL_5O2_t5_R3	1	8.8	1	0	0	1	0
HL_5O2_t6_R3	1	9.6	1	0	0	1	0
HL_5O2_t7_R3	1	11.2	1	0	0	1	0
HL_5O2_t0_R4	1	0	0	0	0	0	0
HL_5O2_t1_R4	1	2.3	1	0	0	1	0
HL_5O2_t2_R4	1	3.3	1	0	0	1	0
HL_5O2_t3_R4	1	4.2	1	0	0	1	0
HL_5O2_t4_R4	1	7.1	1	0	0	1	0
HL_5O2_t5_R4	1	8.8	1	0	0	1	0
HL_5O2_t6_R4	1	9.6	1	0	0	1	0
HL_5O2_t7_R4	1	11.2	1	0	0	1	0
HL_5N2_t0_R1	1	0	0	0	0	0	0
HL_5N2_t1_R1	1	2.2	1	0	0	0	1
HL_5N2_t2_R1	1	4.1	1	0	0	0	1
HL_5N2_t3_R1	1	5.2	1	0	0	0	1
HL_5N2_t4_R1	1	7.3	1	0	0	0	1
HL_5N2_t5_R1	1	8.8	1	0	0	0	1
HL_5N2_t6_R1	1	10.01	1	0	0	0	1
HL_5N2_t7_R1	1	11.6	1	0	0	0	1
HL_5N2_t0_R2	1	0	0	0	0	0	0
HL_5N2_t1_R2	1	2.2	1	0	0	0	1
HL_5N2_t2_R2	1	4.1	1	0	0	0	1
HL_5N2_t3_R2	1	5.2	1	0	0	0	1
HL_5N2_t4_R2	1	7.3	1	0	0	0	1
HL_5N2_t5_R2	1	8.8	1	0	0	0	1
HL_5N2_t6_R2	1	10.01	1	0	0	0	1
HL_5N2_t7_R2	1	11.6	1	0	0	0	1
HL_5N2_t0_R3	1	0	0	0	0	0	0
HL_5N2_t1_R3	1	2.2	1	0	0	0	1
HL_5N2_t2_R3	1	4.1	1	0	0	0	1
HL_5N2_t3_R3	1	5.2	1	0	0	0	1
HL_5N2_t4_R3	1	7.3	1	0	0	0	1
HL_5N2_t5_R3	1	8.8	1	0	0	0	1
HL_5N2_t6_R3	1	10.01	1	0	0	0	1
HL_5N2_t7_R3	1	11.6	1	0	0	0	1
HL_5N2_t0_R4	1	0	0	0	0	0	0
HL_5N2_t1_R4	1	2.2	1	0	0	0	1
HL_5N2_t2_R4	1	4.1	1	0	0	0	1
HL_5N2_t3_R4	1	5.2	1	0	0	0	1
HL_5N2_t4_R4	1	7.3	1	0	0	0	1
HL_5N2_t5_R4	1	8.8	1	0	0	0	1
HL_5N2_t6_R4	1	10.01	1	0	0	0	1
HL_5N2_t7_R4	1	11.6	1	0	0	0	1
